stnid,lat,lon,deparval,accumval,norm
KJXN,42.26667,-84.46667,-390,9/11/17,
KJWG,35.86444,-98.42056,-297,9/11/17,
KJSV,35.43806,-94.80278,-200,9/11/17,
KJST,40.31611,-78.83389,-376,9/11/17,
KJMS,46.92583,-98.66917,-252,9/11/17,
KJMR,45.88583,-93.27167,-463,9/11/17,
KJLN,37.14667,-94.50222,-649,9/11/17,
KJKL,37.59139,-83.31444,-483,9/11/17,
KJKJ,46.83917,-96.66306,-59,9/11/17,
KJHW,42.15,-79.25,215,9/11/17,
KJFK,40.63861,-73.76222,-385,9/11/17,
KJER,42.72667,-114.45639,-769,9/11/17,
KJEF,38.59111,-92.15583,-612,9/11/17,
KJCT,30.51083,-99.76639,-413,9/11/17,
KJBR,35.83111,-90.64639,-527,9/11/17,
KJAX,30.495,-81.69361,-301,9/11/17,
KJAN,32.32056,-90.07778,-578,9/11/17,
KIZG,43.99056,-70.9475,-470,9/11/17,
KIXD,38.83167,-94.88972,-595,9/11/17,
KIWI,43.96361,-69.71167,-492,9/11/17,
KIWD,46.53333,-90.13333,39,9/11/17,
KITR,39.24472,-102.28417,-579,9/11/17,
KISW,44.35917,-89.83694,-347,9/11/17,
KISQ,45.98333,-86.18333,-438,9/11/17,
KISP,40.79389,-73.10166,-139,9/11/17,
KISN,48.17389,-103.63667,-352,9/11/17,
KISM,28.28972,-81.43694,26,9/11/17,
KIRK,40.09722,-92.54333,-377,9/11/17,
KIPT,41.24333,-76.92166,-334,9/11/17,
KIPL,32.83417,-115.57861,-198,9/11/17,
KIOW,41.63278,-91.54306,-294,9/11/17,
KINW,35.02806,-110.72083,-222,9/11/17,
KINT,36.13361,-80.22222,-569,9/11/17,
KINL,48.56139,-93.39806,-209,9/11/17,
KINK,31.78,-103.20167,-273,9/11/17,
KIND,39.72528,-86.28167,-533,9/11/17,
KIMT,45.81833,-88.11444,-436,9/11/17,
KIML,40.51,-101.62,-211,9/11/17,
KILN,39.42028,-83.82167,-494,9/11/17,
KILM,34.2675,-77.89972,-407,9/11/17,
KILG,39.67278,-75.60083,-420,9/11/17,
KILE,31.08333,-97.68333,-410,9/11/17,
KIJD,41.74194,-72.18361,-325,9/11/17,
KIGX,35.93333,-79.06417,-461,9/11/17,
KIGM,35.25778,-113.93305,-150,9/11/17,
KIEN,43.02056,-102.51833,-544,9/11/17,
KIDA,43.51639,-112.06722,-449,9/11/17,
KICT,37.6475,-97.43,-527,9/11/17,
KICL,40.72167,-95.02639,-213,9/11/17,
KIBM,41.18944,-103.67083,-411,9/11/17,
KIAH,29.98,-95.36,-434,9/11/17,
KIAG,43.10833,-78.93806,-244,9/11/17,
KIAD,38.935,-77.44722,-466,9/11/17,
KHZY,41.77806,-80.69583,-438,9/11/17,
KHZX,46.61889,-93.30972,258,9/11/17,
KHYX,43.43333,-83.86667,-163,9/11/17,
KHYS,38.85,-99.26667,-228,9/11/17,
KHYR,46.02611,-91.44417,-270,9/11/17,
KHYA,41.66861,-70.28,-283,9/11/17,
KHWV,40.82167,-72.86889,-254,9/11/17,
KHWO,25.99889,-80.24111,-32,9/11/17,
KHWD,37.65417,-122.115,-70,9/11/17,
KHVR,48.54278,-109.76334,-341,9/11/17,
KHVN,41.26389,-72.88722,-202,9/11/17,
KHUT,38.06528,-97.86056,-483,9/11/17,
KHUL,46.12361,-67.79278,-292,9/11/17,
KHUF,39.45194,-87.30889,-442,9/11/17,
KHTL,44.35917,-84.67389,-386,9/11/17,
KHSV,34.64389,-86.78611,-671,9/11/17,
KHSI,40.60056,-98.42583,-323,9/11/17,
KHSE,35.2325,-75.62195,-535,9/11/17,
KHRO,36.26667,-93.15667,-372,9/11/17,
KHRL,26.22806,-97.65417,-99,9/11/17,
KHRI,45.82583,-119.26111,-940,9/11/17,
KHQM,46.97278,-123.93028,-362,9/11/17,
KHPN,41.06694,-73.7075,-140,9/11/17,
KHOU,29.63806,-95.28194,-323,9/11/17,
KHOT,34.29,-93.06,-535,9/11/17,
KHON,44.39806,-98.22305,-306,9/11/17,
KHNR,41.58417,-95.33944,-228,9/11/17,
KHNB,38.24889,-86.95361,-150,9/11/17,
KHLN,46.60555,-111.96361,-700,9/11/17,
KHLG,40.17639,-80.64722,-541,9/11/17,
KHLC,39.37555,-99.82972,-374,9/11/17,
KHKY,35.7425,-81.38194,-555,9/11/17,
KHKS,32.33667,-90.22139,-510,9/11/17,
KHKA,35.94028,-89.83083,-598,9/11/17,
KHJO,36.31889,-119.62889,-462,9/11/17,
KHJH,40.14917,-97.58667,259,9/11/17,
KHIO,45.54056,-122.94861,-953,9/11/17,
KHIE,44.3675,-71.545,-349,9/11/17,
KHIB,47.38639,-92.83889,-168,9/11/17,
KHHR,33.92278,-118.33417,-5,9/11/17,
KHGR,39.70778,-77.72972,-482,9/11/17,
KHFD,41.73611,-72.65056,-384,9/11/17,
KHEZ,31.61667,-91.28333,-412,9/11/17,
KHEI,46.01389,-102.65472,-474,9/11/17,
KHDO,29.36,-99.17417,-436,9/11/17,
KHDN,40.48111,-107.2175,-16,9/11/17,
KHDE,40.45,-99.33917,-247,9/11/17,
KHDC,30.52083,-90.4175,-121,9/11/17,
KHCO,48.7525,-96.94278,173,9/11/17,
KHCD,44.85889,-94.38167,-192,9/11/17,
KHBR,34.98944,-99.05251,-510,9/11/17,
KHBG,31.28194,-89.25306,-455,9/11/17,
KHAO,39.36444,-84.52472,-438,9/11/17,
KGZH,31.41556,-87.04417,-449,9/11/17,
KGYL,44.75583,-94.08111,-156,9/11/17,
KGXY,40.43556,-104.63194,-188,9/11/17,
KGWO,33.49639,-90.08667,-551,9/11/17,
KGVL,34.27194,-83.83028,-578,9/11/17,
KGUY,36.68167,-101.50528,-494,9/11/17,
KGUP,35.51444,-108.79389,-39,9/11/17,
KGUC,38.53333,-106.93333,-109,9/11/17,
KGTF,47.47334,-111.38223,-806,9/11/17,
KGSP,34.88417,-82.22083,-596,9/11/17,
KGSO,36.09694,-79.94334,-600,9/11/17,
KGSH,41.53333,-85.78333,-397,9/11/17,
KGRR,42.8825,-85.52389,-339,9/11/17,
KGRI,40.96111,-98.31361,-326,9/11/17,
KGRD,34.24861,-82.15917,-437,9/11/17,
KGRB,44.47945,-88.13667,-180,9/11/17,
KGPZ,47.21111,-93.50972,-45,9/11/17,
KGPT,30.41194,-89.08083,-382,9/11/17,
KGOV,44.68028,-84.72861,-226,9/11/17,
KGON,41.3275,-72.04944,-229,9/11/17,
KGOK,35.85167,-97.41417,-560,9/11/17,
KGNV,29.69194,-82.27556,-299,9/11/17,
KGNT,35.1,-107.54,-213,9/11/17,
KGNR,45.46222,-69.59528,-544,9/11/17,
KGNA,47.74722,-90.34444,-385,9/11/17,
KGMU,34.84611,-82.34612,-598,9/11/17,
KGMJ,36.605,-94.73833,-299,9/11/17,
KGLS,29.27333,-94.85917,-152,9/11/17,
KGLR,45.01333,-84.70139,-318,9/11/17,
KGLH,33.4825,-90.98528,-535,9/11/17,
KGLD,39.36722,-101.69334,-480,9/11/17,
KGKY,32.66361,-97.09389,-552,9/11/17,
KGKJ,41.62639,-80.215,-513,9/11/17,
KGJT,39.13417,-108.54,-542,9/11/17,
KGIF,28.06222,-81.75417,-127,9/11/17,
KGHW,45.64389,-95.32028,-94,9/11/17,
KGGW,48.21389,-106.62139,-335,9/11/17,
KGGG,32.38472,-94.71166,-597,9/11/17,
KGFL,43.35,-73.61667,-105,9/11/17,
KGFK,47.94278,-97.18389,-149,9/11/17,
KGEZ,39.57806,-85.80333,-550,9/11/17,
KGEY,44.51694,-108.08222,-425,9/11/17,
KGEG,47.62167,-117.52806,-1023,9/11/17,
KGED,38.68917,-75.35917,-542,9/11/17,
KGDV,47.13333,-104.8,-265,9/11/17,
KGDP,31.83111,-104.80889,-596,9/11/17,
KGCN,35.94611,-112.15472,-335,9/11/17,
KGCM,36.29417,-95.47944,-339,9/11/17,
KGCK,37.92722,-100.72472,-461,9/11/17,
KGCC,44.33944,-105.54194,-619,9/11/17,
KGBD,38.35,-98.86667,-249,9/11/17,
KGAG,36.29667,-99.76889,-518,9/11/17,
KGAD,33.96667,-86.08333,-370,9/11/17,
KFZY,43.34972,-76.38472,-386,9/11/17,
KFYV,36.00972,-94.16944,-466,9/11/17,
KFXE,26.19694,-80.17083,-36,9/11/17,
KFWN,41.20028,-74.62306,-376,9/11/17,
KFWA,40.97055,-85.20638,-523,9/11/17,
KFVE,47.28556,-68.31333,-506,9/11/17,
KFUL,33.87194,-117.97889,-122,9/11/17,
KFTY,33.77917,-84.52139,-616,9/11/17,
KFTW,32.81917,-97.36139,-603,9/11/17,
KFSW,40.65917,-91.32667,-476,9/11/17,
KFST,30.91194,-102.91667,-399,9/11/17,
KFSM,35.33306,-94.3625,-491,9/11/17,
KFSE,47.59278,-95.77528,-55,9/11/17,
KFSD,43.57778,-96.75389,-223,9/11/17,
KFRM,43.65,-94.41667,7,9/11/17,
KFRG,40.73417,-73.41694,-194,9/11/17,
KFPR,27.49806,-80.37667,-93,9/11/17,
KFPK,42.57444,-84.81139,-148,9/11/17,
