stnid,lat,lon,deparval,accumval,norm
KBNA,36.11889,-86.68917,-633,9/11/17,
KBMQ,30.74056,-98.23528,-530,9/11/17,
KBML,44.57611,-71.17861,-299,9/11/17,
KBMG,39.13333,-86.61667,-438,9/11/17,
KBLU,39.2775,-120.71027,-393,9/11/17,
KBLM,40.18333,-74.13333,-101,9/11/17,
KBLI,48.79389,-122.53722,-1132,9/11/17,
KBLH,33.61861,-114.71416,-134,9/11/17,
KBLF,37.29583,-81.20777,-480,9/11/17,
KBKX,44.3,-96.8,-106,9/11/17,
KBKW,37.78361,-81.12305,-536,9/11/17,
KBKV,28.47361,-82.45444,-289,9/11/17,
KBKL,41.5175,-81.68361,-483,9/11/17,
KBKE,44.84278,-117.80862,-827,9/11/17,
KBJJ,40.87306,-81.88667,-550,9/11/17,
KBJI,47.5,-94.93333,-138,9/11/17,
KBIV,42.74611,-86.09667,-287,9/11/17,
KBIS,46.7825,-100.75723,-306,9/11/17,
KBIL,45.80694,-108.54222,-746,9/11/17,
KBIH,37.37111,-118.35806,-343,9/11/17,
KBIE,40.30139,-96.75389,-307,9/11/17,
KBHM,33.56556,-86.745,-535,9/11/17,
KBHK,46.35833,-104.25,-545,9/11/17,
KBHB,44.45,-68.36667,-102,9/11/17,
KBGR,44.79778,-68.81861,-382,9/11/17,
KBGM,42.20667,-75.98,-539,9/11/17,
KBGD,35.695,-101.395,-483,9/11/17,
KBFM,30.62639,-88.06806,-396,9/11/17,
KBFL,35.43444,-119.05417,-317,9/11/17,
KBFI,47.53028,-122.30083,-391,9/11/17,
KBFF,41.87055,-103.59306,-416,9/11/17,
KBFD,41.8,-78.63333,-553,9/11/17,
KBEH,42.12556,-86.42833,-371,9/11/17,
KBED,42.47,-71.28944,-375,9/11/17,
KBDR,41.15834,-73.12889,-384,9/11/17,
KBDL,41.9375,-72.68194,-374,9/11/17,
KBDE,48.71667,-94.6,-194,9/11/17,
KBCE,37.70639,-112.14556,-521,9/11/17,
KBBW,41.43333,-99.63333,-170,9/11/17,
KBAZ,29.70889,-98.04583,-483,9/11/17,
KBAF,42.15778,-72.71611,-465,9/11/17,
KAZO,42.23472,-85.55194,-361,9/11/17,
KAXN,45.86777,-95.39417,-284,9/11/17,
KAWO,48.16056,-122.15889,-374,9/11/17,
KAWM,35.135,-90.23444,-507,9/11/17,
KAVX,33.405,-118.41583,-130,9/11/17,
KAVP,41.33361,-75.72694,-344,9/11/17,
KAVL,35.43195,-82.5375,-625,9/11/17,
KAVK,36.77306,-98.66972,-173,9/11/17,
KAVC,36.68806,-78.05444,116,9/11/17,
KAUW,44.92889,-89.62778,-296,9/11/17,
KAUS,30.18305,-97.68,-511,9/11/17,
KAUO,32.61611,-85.43333,-346,9/11/17,
KAUN,38.95472,-121.08194,430,9/11/17,
KAUM,43.66472,-92.93333,-16,9/11/17,
KAUH,40.89306,-97.99722,-294,9/11/17,
KAUG,44.31556,-69.79722,-394,9/11/17,
KATY,44.90472,-97.14944,-344,9/11/17,
KATT,30.32084,-97.76028,-445,9/11/17,
KATS,32.8525,-104.4675,-184,9/11/17,
KATL,33.63,-84.44167,-543,9/11/17,
KASX,46.54861,-90.91889,-388,9/11/17,
KAST,46.15694,-123.8825,-385,9/11/17,
KASE,39.23,-106.87056,-350,9/11/17,
KASD,30.34333,-89.82222,-414,9/11/17,
KARV,45.92778,-89.73083,14,9/11/17,
KART,43.99222,-76.02167,-257,9/11/17,
KARR,41.77,-88.48139,-311,9/11/17,
KARG,36.12527,-90.92444,-245,9/11/17,
KARB,42.22278,-83.74444,-364,9/11/17,
KARA,30.0375,-91.88389,-428,9/11/17,
KAQW,42.7,-73.16666,-474,9/11/17,
KAPN,45.07167,-83.56445,-343,9/11/17,
KAPF,26.15222,-81.77528,-42,9/11/17,
KAPC,38.21028,-122.28472,-577,9/11/17,
KAPA,39.57028,-104.84889,-597,9/11/17,
KAOO,40.29639,-78.32028,-280,9/11/17,
KAOH,40.7075,-84.02722,-528,9/11/17,
KANW,42.57694,-100.00056,-265,9/11/17,
KANJ,46.47945,-84.35722,-379,9/11/17,
KAND,34.49778,-82.70972,-569,9/11/17,
KANB,33.58722,-85.85555,-601,9/11/17,
KAMW,41.99056,-93.61889,-239,9/11/17,
KAMG,31.53583,-82.50667,-449,9/11/17,
KAMA,35.22944,-101.70417,-553,9/11/17,
KALW,46.09472,-118.28694,-923,9/11/17,
KALS,37.43889,-105.86139,-523,9/11/17,
KALO,42.55444,-92.40111,-218,9/11/17,
KALI,27.74111,-98.02472,-308,9/11/17,
KALB,42.74306,-73.80917,-389,9/11/17,
KAKR,41.0375,-81.46417,-343,9/11/17,
KAKQ,36.98389,-77.00722,-371,9/11/17,
KAKO,40.16667,-103.21667,-449,9/11/17,
KAKH,35.19667,-81.15583,-489,9/11/17,
KAIZ,38.09639,-92.55306,-490,9/11/17,
KAIT,46.5475,-93.67667,34,9/11/17,
KAIO,41.40722,-95.04667,-145,9/11/17,
KAIG,45.15417,-89.11056,-239,9/11/17,
KAIA,42.05722,-102.80167,-435,9/11/17,
KAHN,33.94806,-83.3275,-516,9/11/17,
KAGS,33.36444,-81.96333,-481,9/11/17,
KAGC,40.35472,-79.92167,-448,9/11/17,
KAFW,32.97333,-97.31806,-540,9/11/17,
KAFN,42.805,-72.00361,-428,9/11/17,
KAFK,40.60639,-95.86361,329,9/11/17,
KAFJ,40.13333,-80.28333,-85,9/11/17,
KAEX,31.33472,-92.55861,-465,9/11/17,
KAEL,43.68333,-93.36667,233,9/11/17,
KADG,41.86778,-84.07944,-400,9/11/17,
KADC,46.44667,-95.21167,-40,9/11/17,
KACY,39.44944,-74.56722,-430,9/11/17,
KACV,40.97806,-124.10861,-493,9/11/17,
KACT,31.61889,-97.22833,-502,9/11/17,
KACK,41.25306,-70.06083,-355,9/11/17,
KACB,44.98639,-85.20306,-158,9/11/17,
KABY,31.53556,-84.19444,-385,9/11/17,
KABR,45.44333,-98.41306,-346,9/11/17,
KABQ,35.04194,-106.61555,-440,9/11/17,
KABI,32.41056,-99.68222,-402,9/11/17,
KABE,40.65083,-75.44917,-404,9/11/17,
KAAT,41.49139,-120.56444,-792,9/11/17,
KAAO,37.74611,-97.22112,-478,9/11/17,
KAAF,29.73333,-85.03333,-310,9/11/17,
K9V9,43.76667,-99.31833,-370,9/11/17,
K8D3,45.66889,-96.99139,-313,9/11/17,
K6R6,30.04806,-102.21306,-465,9/11/17,
K40J,30.07194,-83.57361,-387,9/11/17,
K2WX,45.60444,-103.54639,-576,9/11/17,
K20V,40.05361,-106.36889,1082,9/11/17,
K1V4,44.42,-72.01945,-314,9/11/17,
K12N,41.00889,-74.73667,-330,9/11/17,
KMNN,40.61611,-83.06361,-522,9/11/17,
KMOB,30.68833,-88.24556,-364,9/11/17,
KMOD,37.62416,-120.95055,-426,9/11/17,
KMOP,43.62167,-84.73722,-271,9/11/17,
KMOT,48.25528,-101.27333,-12,9/11/17,
KMPO,41.13889,-75.37944,-581,9/11/17,
KMPV,44.20361,-72.56223,-437,9/11/17,
KMQE,42.13,-71.07,-393,9/11/17,
KMRB,39.40389,-77.945,-457,9/11/17,
KMRF,30.37139,-104.01667,-178,9/11/17,
KMRH,34.73361,-76.66056,-378,9/11/17,
KMRY,36.58806,-121.84528,-41,9/11/17,
KMSL,34.74417,-87.59972,-648,9/11/17,
KMSN,43.14056,-89.34528,-306,9/11/17,
KMSO,46.92083,-114.0925,-857,9/11/17,
KMSP,44.88305,-93.22889,-348,9/11/17,
KMSS,44.93583,-74.84583,-152,9/11/17,
KMSY,29.9975,-90.27778,-302,9/11/17,
KMTH,24.72583,-81.05167,-3,9/11/17,
KMTJ,38.50583,-107.89889,-416,9/11/17,
KMTO,39.47806,-88.28028,-484,9/11/17,
KMTP,41.07306,-71.92333,-324,9/11/17,
KMTW,44.13333,-87.66667,76,9/11/17,
KMUT,41.36667,-91.15,-100,9/11/17,
KMVE,44.96889,-95.71,-146,9/11/17,
KMVL,44.53444,-72.61444,-439,9/11/17,
KMVY,41.39306,-70.615,-328,9/11/17,
KMWH,47.20778,-119.31917,-1005,9/11/17,
KMWL,32.78167,-98.06028,-504,9/11/17,
KMWM,43.91333,-95.10917,76,9/11/17,
KMWT,34.54667,-93.57806,-544,9/11/17,
KMXO,42.22389,-91.16556,-278,9/11/17,
KMYF,32.81583,-117.13944,-128,9/11/17,
KMYL,44.88889,-116.10167,-453,9/11/17,
KMYV,39.10194,-121.56778,-335,9/11/17,
KMZH,46.41861,-92.80444,-293,9/11/17,
KN60,47.64583,-101.43944,-252,9/11/17,
KNBC,32.48333,-80.71667,-281,9/11/17,
KNCA,34.70834,-77.43972,-352,9/11/17,
KNEW,30.04944,-90.02889,-155,9/11/17,
KNFG,33.3,-117.35,-364,9/11/17,
KNFL,39.41667,-118.71667,-92,9/11/17,
KNGP,27.68333,-97.28333,-41,9/11/17,
KNGU,36.9375,-76.28917,-226,9/11/17,
KNHK,38.3,-76.41667,-156,9/11/17,
KNIP,30.23333,-81.66667,-224,9/11/17,
KNKT,34.9,-76.88333,-1258,9/11/17,
KNKX,32.86667,-117.13333,-267,9/11/17,
KNLC,36.33333,-119.95,-96,9/11/17,
KNPA,30.35,-87.31667,-201,9/11/17,
KNQI,27.5,-97.81667,-171,9/11/17,
KNRB,30.4,-81.41667,-181,9/11/17,
KNTD,34.11667,-119.11667,-218,9/11/17,
KNTU,36.81667,-76.03333,-228,9/11/17,
KNUQ,37.40583,-122.04806,-64,9/11/17,
KOAJ,34.83333,-77.61667,-332,9/11/17,
KOAK,37.72139,-122.22083,-184,9/11/17,
KOCH,31.57778,-94.70944,-359,9/11/17,
KODO,31.92056,-102.38667,-451,9/11/17,
KODX,41.62333,-98.94833,-89,9/11/17,
KOEB,41.93333,-85.0525,-98,9/11/17,
KOFK,41.98556,-97.43528,-281,9/11/17,
KOFP,37.70806,-77.43444,-416,9/11/17,
KOGA,41.11917,-101.76806,-368,9/11/17,
KOGB,33.46167,-80.85806,-392,9/11/17,
KOGD,41.19611,-112.01139,-778,9/11/17,
KOJC,38.85,-94.73917,-603,9/11/17,
KOKB,33.21944,-117.34944,-398,9/11/17,
KOKC,35.38889,-97.60056,-545,9/11/17,
KOKK,40.52806,-86.05889,-303,9/11/17,
KOKM,35.66806,-95.94861,-265,9/11/17,
KOLF,48.09444,-105.57444,-247,9/11/17,
KOLM,46.97333,-122.90333,-850,9/11/17,
KOLS,31.42083,-110.84583,-264,9/11/17,
KOLU,41.43333,-97.35,-79,9/11/17,
KOMA,41.31028,-95.89917,-302,9/11/17,
KOMK,48.46445,-119.51694,-816,9/11/17,
KONA,44.07694,-91.70806,-293,9/11/17,
KONL,42.46972,-98.68806,-200,9/11/17,
KONO,44.02055,-117.01278,-1061,9/11/17,
KONP,44.58333,-124.05,-21,9/11/17,
KONT,34.05611,-117.60028,-117,9/11/17,
KOPF,25.90694,-80.28028,-29,9/11/17,
KOQT,36.02361,-84.2375,-610,9/11/17,
KORB,48.01583,-92.85583,54,9/11/17,
KORC,42.99,-96.06278,-401,9/11/17,
KORD,41.995,-87.93361,-413,9/11/17,
KORE,42.57,-72.29111,-504,9/11/17,
KORF,36.90334,-76.19222,-490,9/11/17,
KORH,42.27055,-71.87305,-494,9/11/17,
KORL,28.54528,-81.33306,-124,9/11/17,
KORS,48.70833,-122.91056,219,9/11/17,
KOSC,44.45,-83.4,55,9/11/17,
KOSH,43.98444,-88.55694,-368,9/11/17,
KOSU,40.07806,-83.07806,-519,9/11/17,
KOTG,43.645,-95.58028,8,9/11/17,
KOTM,41.10778,-92.44667,-128,9/11/17,
KOUN,35.25,-97.46667,-111,9/11/17,
KOVE,39.49,-121.61833,-283,9/11/17,
KOVL,44.77861,-95.03278,-332,9/11/17,
KOVS,43.15611,-90.6775,-172,9/11/17,
KOWA,44.12333,-93.26056,-77,9/11/17,
KOWD,42.19083,-71.17361,-290,9/11/17,
KOXB,38.30833,-75.12389,-308,9/11/17,
KOXR,34.20083,-119.20694,-200,9/11/17,
KP28,37.28389,-98.55278,-465,9/11/17,
KP58,44.02194,-82.79306,-208,9/11/17,
KP59,47.46667,-87.88333,-403,9/11/17,
KP60,44.54444,-110.42111,-200,9/11/17,
KP68,39.60139,-116.00555,-643,9/11/17,
KP69,46.14417,-115.59639,-1559,9/11/17,
KPAE,47.90778,-122.28028,-816,9/11/17,
KPAH,37.05639,-88.77444,-548,9/11/17,
KPBF,34.175,-91.93472,-528,9/11/17,
KPBI,26.68472,-80.09945,-48,9/11/17,
KPDC,43.01917,-91.12361,-108,9/11/17,
KPDK,33.875,-84.30222,-549,9/11/17,
KPDT,45.69833,-118.85472,-760,9/11/17,
KPDX,45.59583,-122.60916,-729,9/11/17,
KPEA,41.4,-92.94583,-327,9/11/17,
KPEO,42.6425,-77.05639,-371,9/11/17,
KPGA,36.92611,-111.44778,-678,9/11/17,
KPGD,26.91722,-81.99139,-102,9/11/17,
KPHD,40.47194,-81.42361,-519,9/11/17,
KPHF,37.13194,-76.49305,-379,9/11/17,
KPHL,39.86833,-75.23111,-398,9/11/17,
KPHN,42.91083,-82.52861,-159,9/11/17,
KPHP,44.05111,-101.60111,-550,9/11/17,
KPHX,33.42778,-112.00389,-127,9/11/17,
KPIA,40.6675,-89.68389,-399,9/11/17,
KPIB,31.46667,-89.33333,-427,9/11/17,
KPIE,27.91056,-82.6875,-72,9/11/17,
KPIH,42.92028,-112.57111,-562,9/11/17,
KPIL,26.16583,-97.34583,-24,9/11/17,
KPIR,44.38139,-100.28555,-685,9/11/17,
KPIT,40.48472,-80.21444,-504,9/11/17,
KPKB,39.33944,-81.44389,-442,9/11/17,
KPKD,46.90056,-95.06778,-280,9/11/17,
KPLN,45.56445,-84.79278,-278,9/11/17,
KPMD,34.62944,-118.08361,-457,9/11/17,
KPMP,26.25,-80.10833,-35,9/11/17,
KPNC,36.73667,-97.10194,-572,9/11/17,
KPNE,40.08194,-75.01111,-437,9/11/17,
KPNS,30.47806,-87.18694,-378,9/11/17,
KPOF,36.7725,-90.32472,-513,9/11/17,
KPOU,41.62666,-73.88416,-308,9/11/17,
KPPF,37.32778,-95.50417,-555,9/11/17,
KPQI,46.68333,-68.05,-194,9/11/17,
KPQL,30.46361,-88.53194,-430,9/11/17,
KPQN,43.98306,-96.30028,-50,9/11/17,
KPRB,35.66972,-120.62833,-487,9/11/17,
KPRC,34.65167,-112.42083,-305,9/11/17,
KPRX,33.63333,-95.45,-395,9/11/17,
KPSC,46.26667,-119.11667,-1006,9/11/17,
KPSF,42.42722,-73.28917,-451,9/11/17,
KPSP,33.82222,-116.50417,-82,9/11/17,
KPSX,28.72472,-96.25361,-305,9/11/17,
KPTK,42.665,-83.41806,-332,9/11/17,
KPTN,29.71667,-91.33333,-366,9/11/17,
KPTT,37.70167,-98.74694,274,9/11/17,
KPTV,36.02944,-119.0625,-246,9/11/17,
KPTW,40.23833,-75.55722,-354,9/11/17,
KPUB,38.29,-104.49833,-466,9/11/17,
KPUC,39.60917,-110.75472,-611,9/11/17,
KPUW,46.74389,-117.10861,-1241,9/11/17,
KPVC,42.07194,-70.22111,267,9/11/17,
KPVD,41.7225,-71.4325,-337,9/11/17,
KPVJ,34.71083,-97.22306,-44,9/11/17,
KPVU,40.21889,-111.72333,-216,9/11/17,
KPWA,35.53417,-97.64694,-599,9/11/17,
KPWG,31.48472,-97.31639,-399,9/11/17,
KPWK,42.12083,-87.90472,-291,9/11/17,
KPWM,43.64972,-70.30028,-445,9/11/17,
KPWT,47.48333,-122.76667,-529,9/11/17,
KPYM,41.90972,-70.72944,-265,9/11/17,
KRAC,42.76111,-87.81361,-271,9/11/17,
KRAL,33.95194,-117.43861,-271,9/11/17,
KRAP,44.04333,-103.05361,-625,9/11/17,
KRBD,32.68083,-96.86806,-570,9/11/17,
KRBG,43.23889,-123.35472,-710,9/11/17,
KRBL,40.15195,-122.25361,-327,9/11/17,
KRDD,40.5175,-122.29861,-312,9/11/17,
KRDG,40.36666,-75.96667,-315,9/11/17,
KRDK,41.01028,-95.25972,-280,9/11/17,
KRDM,44.25583,-121.13917,-720,9/11/17,
KRDU,35.89222,-78.78194,-586,9/11/17,
KREO,42.59055,-117.86444,-850,9/11/17,
KRFD,42.19278,-89.09306,-314,9/11/17,
KRGK,44.58917,-92.48472,-33,9/11/17,
KRHI,45.63139,-89.48222,-323,9/11/17,
KRHP,35.195,-83.86528,80,9/11/17,
KRIC,37.505,-77.32027,-415,9/11/17,
KRIL,39.52778,-107.71972,-464,9/11/17,
KRIW,43.06417,-108.45889,-487,9/11/17,
KRKD,44.06667,-69.1,-206,9/11/17,
KRKP,28.08361,-97.04639,-201,9/11/17,
KRKR,35.02139,-94.62111,-145,9/11/17,
KRKS,41.59444,-109.05278,32,9/11/17,
KRMG,34.34778,-85.16111,-514,9/11/17,
KRNH,45.15,-92.53333,-155,9/11/17,
KRNM,33.0375,-116.91583,-524,9/11/17,
KRNO,39.48389,-119.77112,-533,9/11/17,
KRNT,47.49333,-122.21444,-499,9/11/17,
KROA,37.31694,-79.97417,-546,9/11/17,
KROC,43.11666,-77.67667,-382,9/11/17,
KROG,36.37222,-94.10667,-243,9/11/17,
KROS,45.69778,-92.95278,-90,9/11/17,
KROW,33.3075,-104.50833,-445,9/11/17,
KROX,48.85583,-95.69694,65,9/11/17,
KRQB,43.71667,-85.5,-49,9/11/17,
KRQE,35.6575,-109.06139,-430,9/11/17,
KRRT,48.94139,-95.34833,40,9/11/17,
KRSL,38.87611,-98.80917,-374,9/11/17,
KRST,43.90417,-92.49167,-394,9/11/17,
KRSW,26.53611,-81.755,-75,9/11/17,
KRTN,36.74139,-104.50222,-411,9/11/17,
KRUE,35.25778,-93.09472,-378,9/11/17,
KRUT,43.53333,-72.95,-64,9/11/17,
KRVS,36.03944,-95.98444,-503,9/11/17,
KRWF,44.54833,-95.08028,-151,9/11/17,
KRWI,35.855,-77.89306,-590,9/11/17,
KRWL,41.8,-107.2,-447,9/11/17,
KRXE,43.83389,-111.80444,-355,9/11/17,
KSAC,38.50694,-121.495,-261,9/11/17,
KSAD,32.85472,-109.63528,-326,9/11/17,
KSAF,35.61694,-106.08889,-326,9/11/17,
KSAN,32.73361,-117.18305,-28,9/11/17,
KSAT,29.54417,-98.48389,-421,9/11/17,
KSAV,32.13,-81.21,-412,9/11/17,
KSBA,34.42583,-119.8425,-304,9/11/17,
KSBM,43.76944,-87.85056,-297,9/11/17,
KSBN,41.70722,-86.31639,-638,9/11/17,
KSBP,35.23722,-120.64139,-492,9/11/17,
KSBY,38.34083,-75.51334,-304,9/11/17,
KSCK,37.88917,-121.22583,-339,9/11/17,
KSDA,40.75139,-95.41333,-299,9/11/17,
KSDB,34.74361,-118.72417,-837,9/11/17,
KSDF,38.18111,-85.73917,-461,9/11/17,
KSDL,33.62278,-111.91056,-196,9/11/17,
KSDM,32.57222,-116.97944,-196,9/11/17,
KSDY,47.71667,-104.18333,-261,9/11/17,
KSEA,47.44444,-122.31389,-669,9/11/17,
KSEG,40.82055,-76.86417,-406,9/11/17,
KSET,38.92861,-90.42806,-539,9/11/17,
KSFB,28.77972,-81.24361,-128,9/11/17,
KSFF,47.68306,-117.32139,-1153,9/11/17,
KSFM,43.39361,-70.70778,-109,9/11/17,
KSFO,37.61972,-122.36472,-80,9/11/17,
KSGF,37.23972,-93.38972,-538,9/11/17,
KSGJ,29.95917,-81.33972,-213,9/11/17,
KSGR,29.62194,-95.65667,-415,9/11/17,
KSGS,44.85694,-93.03278,-148,9/11/17,
KSGU,37.1,-113.6,-137,9/11/17,
KSHL,43.20833,-95.83333,-237,9/11/17,
KSHN,47.23806,-123.14083,-963,9/11/17,
KSHR,44.76944,-106.96889,-599,9/11/17,
KSHV,32.44722,-93.82444,-590,9/11/17,
KSIY,41.78139,-122.46806,-579,9/11/17,
KSJC,37.35917,-121.92389,-130,9/11/17,
KSJN,34.51833,-109.37917,-76,9/11/17,
KSJT,31.35167,-100.495,-405,9/11/17,
KSJX,45.68889,-85.56611,-312,9/11/17,
KSKX,36.45,-105.66667,-87,9/11/17,
KSLB,42.59694,-95.24056,-242,9/11/17,
KSLC,40.77806,-111.96944,-979,9/11/17,
KSLE,44.905,-123.00111,-819,9/11/17,
KSLH,45.65361,-84.51917,-410,9/11/17,
KSLK,44.38528,-74.20667,-405,9/11/17,
KSLN,38.8,-97.65,-627,9/11/17,
KSME,37.05417,-84.61472,-228,9/11/17,
KSMF,38.69556,-121.58972,-250,9/11/17,
KSMO,34.01583,-118.45139,-57,9/11/17,
KSMP,47.27666,-121.33723,-1159,9/11/17,
KSMQ,40.62389,-74.66944,-278,9/11/17,
KSMX,34.89944,-120.44861,-317,9/11/17,
KSNA,33.68,-117.86639,-59,9/11/17,
KSNL,35.35667,-96.94333,-276,9/11/17,
KSNS,36.66361,-121.60806,-199,9/11/17,
KSNT,44.17083,-114.92722,-244,9/11/17,
KSNY,41.09917,-102.98638,-353,9/11/17,
KSOP,35.23722,-79.39111,-373,9/11/17,
KSPB,45.77278,-122.86111,-907,9/11/17,
KSPD,37.28333,-102.61389,-502,9/11/17,
KSPG,27.76472,-82.6275,-34,9/11/17,
KSPI,39.84472,-89.68389,-454,9/11/17,
KSPS,33.97861,-98.49278,-443,9/11/17,
KSPW,43.16444,-95.20167,-207,9/11/17,
KSQI,41.74278,-89.67611,-110,9/11/17,
KSRQ,27.40139,-82.55861,-85,9/11/17,
KSRR,33.45,-105.51667,-304,9/11/17,
KSSF,29.33889,-98.47194,-429,9/11/17,
KSSI,31.15222,-81.39083,-353,9/11/17,
KSTC,45.54333,-94.05139,-328,9/11/17,
KSTE,44.55,-89.53333,-211,9/11/17,
KSTJ,39.77361,-94.92333,-476,9/11/17,
KSTL,38.7525,-90.37361,-594,9/11/17,
KSTP,44.93195,-93.05556,-316,9/11/17,
KSTS,38.50389,-122.81028,-448,9/11/17,
KSUE,44.85,-87.41667,-81,9/11/17,
KSUS,38.65722,-90.65583,-566,9/11/17,
KSUX,42.39139,-96.37917,-147,9/11/17,
KSWO,36.1625,-97.08944,-556,9/11/17,
KSXT,42.60028,-123.36417,-810,9/11/17,
KSYR,43.11111,-76.10389,-464,9/11/17,
KTAD,37.26222,-104.33778,-361,9/11/17,
KTAN,41.87556,-71.02111,-433,9/11/17,
KTCC,35.18222,-103.60306,-447,9/11/17,
KTCL,33.21194,-87.61611,-557,9/11/17,
KTCS,33.23667,-107.26806,-400,9/11/17,
KTDZ,41.56305,-83.47639,-407,9/11/17,
KTEB,40.85,-74.06139,-325,9/11/17,
KTEX,37.95,-107.9,-214,9/11/17,
KTHV,39.91806,-76.87417,-434,9/11/17,
KTIW,47.2675,-122.57611,-448,9/11/17,
KTKI,33.19028,-96.59139,-591,9/11/17,
KTLH,30.39305,-84.35333,-368,9/11/17,
KTMB,25.6475,-80.43306,-47,9/11/17,
KTNU,41.67417,-93.02167,-180,9/11/17,
KTOB,44.01778,-92.83139,-210,9/11/17,
KTOI,31.86056,-86.01222,-490,9/11/17,
KTOL,41.58722,-83.80556,-344,9/11/17,
KTOP,39.0725,-95.62611,-581,9/11/17,
KTOR,42.06139,-104.15833,-515,9/11/17,
KTPA,27.96194,-82.54028,-121,9/11/17,
KTPH,38.05111,-117.09028,-421,9/11/17,
KTPL,31.15,-97.41667,-337,9/11/17,
KTQE,41.76361,-96.17778,-314,9/11/17,
KTQH,35.92889,-95.00444,-206,9/11/17,
KTRI,36.47306,-82.40445,-616,9/11/17,
KTRL,32.71,-96.26722,-582,9/11/17,
KTRM,33.62666,-116.15945,-292,9/11/17,
KTTA,35.58222,-79.10111,-97,9/11/17,
KTTD,45.55111,-122.40889,-875,9/11/17,
KTTN,40.27694,-74.81583,-360,9/11/17,
KTUL,36.19944,-95.88722,-538,9/11/17,
KTUP,34.26222,-88.77139,-612,9/11/17,
KTUS,32.13139,-110.95528,-365,9/11/17,
KTVC,44.74083,-85.5825,-290,9/11/17,
KTVF,48.06667,-96.18333,-73,9/11/17,
KTVL,38.89833,-119.99472,-676,9/11/17,
KTVR,32.35,-91.02778,-562,9/11/17,
KTWF,42.48194,-114.48694,-755,9/11/17,
KTWM,47.04917,-91.745,163,9/11/17,
KTXK,33.45361,-94.0075,-547,9/11/17,
KTYR,32.35417,-95.4025,-624,9/11/17,
KTYS,35.81805,-83.98583,-612,9/11/17,
KUAO,45.24861,-122.76861,-777,9/11/17,
KUGN,42.41667,-87.86667,-129,9/11/17,
KUIL,47.9375,-124.555,-663,9/11/17,
KUIN,39.93694,-91.19194,-320,9/11/17,
KUKI,39.12583,-123.20083,-374,9/11/17,
KUKT,40.43528,-75.38194,486,9/11/17,
KULM,44.31944,-94.50222,-42,9/11/17,
KUNO,36.87806,-91.9025,-540,9/11/17,
KUNU,43.42639,-88.70306,-139,9/11/17,
KUTS,30.74389,-95.58611,-537,9/11/17,
KUUU,41.53333,-71.28333,-307,9/11/17,
KUZA,34.98694,-81.0575,-472,9/11/17,
KVAY,39.94917,-74.84167,-342,9/11/17,
KVBG,34.71667,-120.56667,19,9/11/17,
KVCB,38.3775,-121.9575,-253,9/11/17,
KVCT,28.86139,-96.93027,-400,9/11/17,
KVEL,40.44278,-109.51278,-382,9/11/17,
KVGT,36.21167,-115.19583,-223,9/11/17,
KVIH,38.13111,-91.76833,-603,9/11/17,
KVIS,36.31667,-119.4,-201,9/11/17,
KVLD,30.7825,-83.27667,-264,9/11/17,
KVNY,34.20972,-118.48917,-208,9/11/17,
KVPC,34.12306,-84.84861,-461,9/11/17,
KVPZ,41.4525,-87.00583,-443,9/11/17,
KVRB,27.65111,-80.42,-66,9/11/17,
KVSF,43.34361,-72.51778,-526,9/11/17,
KVTA,40.02278,-82.4625,-441,9/11/17,
KVTI,42.21861,-92.02583,80,9/11/17,
KVTN,42.87833,-100.55,-448,9/11/17,
KVUO,45.62083,-122.65722,-747,9/11/17,
KVVV,45.30556,-96.42417,-113,9/11/17,
KVWU,48.15389,-94.51667,262,9/11/17,
KW99,38.99417,-79.14417,-17,9/11/17,
KWAL,37.93722,-75.47083,-443,9/11/17,
KWJF,34.74111,-118.21166,-291,9/11/17,
KWLD,37.16806,-97.03694,-520,9/11/17,
KWMC,40.90167,-117.80806,-703,9/11/17,
KWRL,43.96583,-107.95083,-313,9/11/17,
KWST,41.34972,-71.79889,-116,9/11/17,
KWVI,36.93583,-121.78861,-228,9/11/17,
KWVL,44.53333,-69.66667,-261,9/11/17,
KWWR,36.43667,-99.52083,-57,9/11/17,
KXNA,36.28333,-94.3,-491,9/11/17,
KXVG,46.99,-94.20389,-246,9/11/17,
KYIP,42.23333,-83.53333,-238,9/11/17,
KYKM,46.56833,-120.54278,-1014,9/11/17,
KYKN,42.87833,-97.36333,-59,9/11/17,
KYNG,41.25472,-80.67361,-502,9/11/17,
KZZV,39.94444,-81.89222,-396,9/11/17,
